"ticker","company_name","asof_date","est_window_start","n_obs","spot_price","log_return_mean","log_return_std","vol_annual_realized","vol_annual_downside","vol_annual_20d","skewness","kurtosis","max_drawdown","return_annual","avg_daily_volume_20d","normality_n","normality_pvalue","normality_log10_pvalue","outlier_fraction","gbm_mu_annual","gbm_sigma_annual","gbm_mu_se","gbm_sigma_se","gbm_mu_ci95_low","gbm_mu_ci95_high","gbm_sigma_ci95_low","gbm_sigma_ci95_high","dividend_yield","carry_r_minus_q","lattice_u","lattice_d","lattice_p_real","lattice_p_rn","lattice_implied_sigma","sim_alpha_annual","sim_beta","sim_alpha_se","sim_beta_se","sim_alpha_ci95_low","sim_alpha_ci95_high","sim_beta_ci95_low","sim_beta_ci95_high","sim_r_squared","sim_resid_std","model_fit_notes","tags","snapshot_date"
"AAPL","Apple","2026-02-02","2025-03-11",225,270.01,0.00089342,0.02015063,0.319881,0.210766,0.251349,0.8668,16.1197,0.22989,0.250883,53804630,225,0,-13.8379,0.013333,0.225143,0.319881,0.338531,0.015079,-0.441969,0.892255,0.290166,0.349597,0.004,0.039,1.01251841,0.98780955,0.53777778,0.50027007,0.319881,-0.09688114,1.284283,0.00085362,0.070116,-0.52079509,0.32703281,1.146109,1.422457,0.600715,0.0127615,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=60.07%","non_normal;heavy_tails","2026-02-02"
"AMZN","Amazon","2026-02-02","2025-03-11",225,242.96,0.00094123,0.02200273,0.349283,0.234656,0.279261,0.3047,8.8247,0.186622,0.265956,41407515,225,0,-9.3063,0.022222,0.23719,0.349283,0.369646,0.016465,-0.491239,0.965618,0.316836,0.381729,0,0.043,1.01494456,0.9845893,0.54666667,0.51329973,0.349283,-0.09965993,1.343409,0.00098808,0.08116,-0.59034475,0.39102489,1.183471,1.503347,0.551299,0.01477157,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=55.13%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-02"
"GOOGL","Google","2026-02-02","2025-03-11",225,343.69,0.00328724,0.01942254,0.308323,0.183605,0.185347,0.4226,6.683,0.151618,1.278751,31079155,225,1e-06,-5.949,0.013333,0.828385,0.308323,0.326299,0.014534,0.185378,1.471393,0.279681,0.336965,0.004,0.039,1.01572044,0.9873314,0.56888889,0.45226086,0.308323,0.57751624,1.000505,0.00101495,0.083367,0.07348749,1.08154499,0.836218,1.164793,0.39242,0.01517327,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.24%","non_normal;heavy_tails","2026-02-02"
"META","Meta","2026-02-02","2025-03-11",225,706.41,0.00068353,0.0251373,0.399042,0.26074,0.477039,0.597,11.0458,0.25424,0.1868,18264445,225,0,-11.9806,0.026667,0.17225,0.399042,0.422307,0.018811,-0.659952,1.004452,0.361973,0.436111,0.003,0.04,1.01747578,0.98467058,0.49777778,0.47248805,0.399042,-0.1845023,1.422783,0.00122249,0.100414,-0.79159577,0.42259118,1.224901,1.620664,0.473766,0.01827593,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=47.38%","high_beta;non_normal;heavy_tails","2026-02-02"
"MSFT","Microsoft","2026-02-02","2025-03-11",225,423.37,0.00047507,0.01630928,0.258902,0.17917,0.439635,-0.0155,16.2051,0.218975,0.126405,35035545,225,0,-13.5685,0.013333,0.119719,0.258902,0.273996,0.012205,-0.420221,0.659658,0.234851,0.282953,0.007,0.036,1.01009358,0.98937198,0.54222222,0.52113108,0.258902,-0.0906336,0.838918,0.00085306,0.070069,-0.51426617,0.33299897,0.700835,0.977,0.391285,0.01275303,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.13%","non_normal;heavy_tails","2026-02-02"
"NVDA","NVIDIA","2026-02-02","2025-03-11",225,185.61,0.00237557,0.0261284,0.414776,0.264265,0.277126,0.8082,10.4988,0.224871,0.813405,165489110,225,0,-8.585,0.013333,0.598645,0.414776,0.438957,0.019553,-0.266369,1.463658,0.376245,0.453306,3e-04,0.0427,1.01995597,0.98302529,0.53333333,0.46425785,0.414776,0.18523342,1.648748,0.00112317,0.092256,-0.37254154,0.74300838,1.466942,1.830554,0.588853,0.01679125,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.89%","high_beta;non_normal;high_vol;heavy_tails","2026-02-02"
"TSLA","Tesla","2026-02-02","2025-03-11",225,421.81,0.00268425,0.03755907,0.596232,0.389866,0.394301,0.3375,7.2029,0.230027,0.959221,62410985,225,2e-06,-5.619,0.013333,0.676432,0.596232,0.630992,0.028107,-0.567008,1.919872,0.540844,0.651619,0,0.043,1.02961585,0.97447971,0.52444444,0.46595465,0.596232,0.15928207,2.062474,0.00187426,0.15395,-0.77148868,1.09005282,1.759091,2.365858,0.445935,0.0280199,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.59%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-02"
"AAPL","Apple","2026-02-03","2025-03-11",226,269.48,0.00088078,0.0201067,0.319184,0.210309,0.246203,0.8705,16.1913,0.22989,0.247309,54742005,226,0,-13.9138,0.013274,0.221956,0.319184,0.337044,0.015013,-0.442211,0.886123,0.2896,0.348768,0.004,0.039,1.01251841,0.98790695,0.53539823,0.49829228,0.319184,-0.08584672,1.281631,0.00085061,0.069948,-0.50825331,0.33655986,1.143792,1.419471,0.599802,0.01274811,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=59.98%","non_normal;heavy_tails","2026-02-03"
"AMZN","Amazon","2026-02-03","2025-03-11",226,238.62,0.00085731,0.02199,0.34908,0.234908,0.272725,0.3125,8.8131,0.186622,0.239986,41612415,226,0,-9.2942,0.022124,0.216042,0.34908,0.368614,0.016419,-0.510335,0.942419,0.316725,0.381436,0,0.043,1.01494456,0.98456549,0.54424779,0.51368118,0.34908,-0.10702233,1.345178,0.00098381,0.080901,-0.59557506,0.3815304,1.185754,1.504602,0.552423,0.01474438,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=55.24%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-03"
"GOOGL","Google","2026-02-03","2025-03-11",226,339.71,0.00322116,0.01940477,0.308041,0.183611,0.193831,0.4301,6.6852,0.151618,1.243849,31394710,226,1e-06,-5.9597,0.013274,0.811732,0.308041,0.325278,0.014489,0.170751,1.452713,0.27949,0.336593,0.004,0.039,1.01572044,0.9873425,0.56637168,0.4520465,0.308041,0.57107426,1.002053,0.00101045,0.083092,0.06928993,1.07285859,0.838311,1.165795,0.393665,0.0151437,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.37%","non_normal;heavy_tails","2026-02-03"
